date,symbol,weight,condition
2024-12-31,GOOGL,0.18226595893681963,momentum_allocation
2024-12-31,AAPL,0.44679854853928075,momentum_allocation
2024-12-31,QQQ,0.3709354925238996,momentum_allocation
2025-01-31,GOOGL,0.31341617085710605,momentum_allocation
2025-01-31,META,0.3025473066009514,momentum_allocation
2025-01-31,AMZN,0.3840365225419426,momentum_allocation
2025-02-28,TLT,0.7,defensive_allocation
2025-02-28,SPY,0.3,defensive_allocation
2025-03-31,TLT,0.7,defensive_allocation
2025-03-31,SPY,0.3,defensive_allocation
2025-04-30,TLT,0.7,defensive_allocation
2025-04-30,SPY,0.3,defensive_allocation
