,date,allocation,triggered_condition,portfolio_return,metrics,cumulative_return
0,2023-01-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.0,{},0.0
1,2023-02-28,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.006994248327182468,{},-0.0069942483271824285
2,2023-03-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.015652379520643286,{},0.00854865456418219
3,2023-04-30,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.0009253784088127453,{},0.009481943713353091
4,2023-05-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.007999374908378388,{},0.001406719182351468
5,2023-06-30,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.010874474861660897,{},0.012296491376398322
6,2023-07-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.00032797317328901867,{},0.011964485283812332
7,2023-08-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.0009683373962092437,{},0.010984562229076289
8,2023-09-30,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.005689149631894804,{},0.01673620467913306
9,2023-10-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.007060819765175073,{},0.009557213589165503
10,2023-11-30,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.0036998557074066204,{},0.005821997570514048
11,2023-12-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.0032562475464872585,{},0.002546792158722111
12,2024-01-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.009090189759023091,{},-0.0065665484243006
13,2024-02-29,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.006248220306525286,{},-0.00035935735898384724
14,2024-03-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.0024280858110169493,{},0.0020678559015288034
15,2024-04-30,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.01402960892136982,{},-0.011990764229445228
16,2024-05-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.004726665790084088,{},-0.01666075368444897
17,2024-06-30,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.00021539201678180567,{},-0.016872557107893593
18,2024-07-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.0270374917408405,{},0.009708743009495313
19,2024-08-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.0057948876330375714,{},0.015559891717330965
20,2024-09-30,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.002061128798264719,{},0.01346669197814987
21,2024-10-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.011054069986648818,{},0.0022637602358859255
22,2024-11-30,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.004704065161660338,{},0.006978474273206192
23,2024-12-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,-0.006629065659135605,{},0.00030314784991292143
24,2025-01-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.0036135266114552126,{},0.003917769894191014
25,2025-02-28,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.009027882554824555,{},0.01298102161549708
26,2025-03-31,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.001676676460998541,{},0.014679463049878105
27,2025-04-30,"{'TECL': 0.14285714285714285, 'SHY': 0.14285714285714285, 'PSQ': 0.14285714285714285, 'SPY': 0.14285714285714285, 'TQQQ': 0.14285714285714285, 'UVXY': 0.14285714285714285, 'QQQ': 0.14285714285714285}",default_allocation,0.0076189456859871215,{},0.022410250767541884
