Date,Open,High,Low,Close,Volume
2010-02-11,78.12,83.5,77.87,0.414647356827819,288000
2010-02-12,80.79,84.11,80.32,0.416344869622997,716800
2010-02-16,85.35,86.82,84.01,0.432471450872407,801600
2010-02-17,87.78,88.11,86.46,0.439810748765092,1598400
2010-02-18,88.0,90.29,87.47,0.448148660249413,3238400
2010-02-19,89.15,90.93,88.47,0.448148660249413,3873600
2010-02-22,90.82,90.82,88.12,0.445003206924887,2124800
2010-02-23,88.64,89.12,84.47,0.427628484752703,3427200
2010-02-24,87.16,89.25,86.69,0.440559670265058,2942400
2010-02-25,85.42,88.79,83.71,0.440310053064539,3801600
2010-02-26,87.93,89.66,87.06,0.445802065844637,2400000
2010-03-01,90.42,93.5,90.42,0.464924283166475,1185600
2010-03-02,93.94,95.7,93.43,0.467720204508964,2017600
2010-03-03,94.73,95.55,93.29,0.47031641611426,1998400
2010-03-04,94.53,95.37,93.06,0.475508874274054,1227200
2010-03-05,97.27,99.89,96.75,0.496528319121007,1120000
2010-03-08,99.54,100.7,99.54,0.499174503095291,1056000
2010-03-09,99.43,103.31,99.35,0.508011643987907,1934400
2010-03-10,101.89,104.86,101.82,0.520443565142763,1670400
2010-03-11,103.61,105.35,102.92,0.525236593842682,2246400
2010-03-12,106.36,106.36,104.23,0.526434877229565,1505600
2010-03-15,104.74,105.45,102.5,0.52289003438711,1766400
2010-03-16,105.76,107.01,104.66,0.532775646407252,1940800
2010-03-17,107.01,108.97,106.56,0.536470266559859,1659200
2010-03-18,107.82,108.88,107.11,0.541912376869377,2174400
2010-03-19,106.62,109.73,105.48,0.532326319469539,1668800
2010-03-22,105.37,110.78,104.97,0.546705405569295,2449600
2010-03-23,110.25,112.03,108.54,0.558138793016411,2305600
2010-03-24,111.0,111.24,109.5,0.550200310991965,3718400
2010-03-25,112.89,114.07,109.42,0.546755342989081,3913600
2010-03-26,111.07,112.19,108.35,0.549601206744099,3512000
2010-03-29,111.74,112.73,110.77,0.557140219366722,1585600
2010-03-30,112.51,113.73,110.47,0.562981759136115,1662400
2010-03-31,111.5,113.0,110.47,0.555392769151759,2481600
2010-04-01,112.48,114.63,108.53,0.554294360604447,4859200
2010-04-05,111.83,114.9,111.0,0.570321096970747,2816000
2010-04-06,113.36,116.14,112.64,0.574664758791006,2446400
2010-04-07,114.71,115.96,112.45,0.571419470568855,4427200
2010-04-08,113.29,115.53,111.56,0.57346651534607,2902400
2010-04-09,115.24,117.21,114.35,0.58380148925313,2420800
2010-04-12,117.33,118.3,116.56,0.586148088650649,2033600
2010-04-13,117.02,119.36,115.96,0.594985224550522,2801600
2010-04-14,120.87,123.47,120.62,0.615954771919637,2545600
2010-04-15,123.24,125.48,123.13,0.624192768622439,1907200
2010-04-16,123.7,124.91,118.25,0.601975075337808,5395200
2010-04-19,119.44,121.48,116.0,0.601026439107905,4697600
2010-04-20,122.25,123.0,119.96,0.609913557362254,2337600
2010-04-21,124.64,125.37,122.0,0.620647925779985,3499200
2010-04-22,120.68,126.57,118.62,0.629834593661894,5118400
2010-04-23,126.27,128.22,124.78,0.638172465204268,3432000
2010-04-26,127.91,128.87,126.25,0.633429373924135,3355200
2010-04-27,125.64,126.98,118.0,0.594336182882871,5572800
2010-04-28,120.87,120.99,116.43,0.595734146050487,5211200
2010-04-29,120.98,126.01,120.97,0.626139973509287,3531200
2010-04-30,125.22,125.81,117.71,0.589243564613443,3688000
2010-05-03,119.4,124.62,119.37,0.613308582952609,2192000
2010-05-04,118.19,118.2,109.31,0.55908742425357,5718400
2010-05-05,108.47,112.11,106.4,0.54990075637166,5771200
2010-05-06,107.87,110.98,68.0,0.496029049770764,9075200
2010-05-07,96.72,100.33,85.71,0.459931539736618,10344000
2010-05-10,103.75,106.17,103.18,0.528531824477361,7886400
2010-05-11,102.87,110.0,102.27,0.528182332437271,6126400
2010-05-12,107.24,111.72,106.84,0.556640955009223,4523200
