date,total_portfolio_value,total_return,black_swan_protection_value,black_swan_protection_return,crisis_alpha_hunter_value,crisis_alpha_hunter_return
2024-02-01,10000.0,0.0,7000.0,0.0,3000.0,0.0
2024-02-02,9882.622227327476,-1.1737777267252336,6907.720222175145,-1.3182825403550757,2974.902005152331,-0.8365998282556242
2024-02-05,9618.363488741077,-3.816365112589226,6725.076567001468,-3.9274776142647405,2893.286921739609,-3.5571026086796964
2024-02-06,9545.399871174945,-4.546001288250556,6686.1844276238535,-4.4830796053735185,2859.2154435510915,-4.692818548296951
2024-02-07,9511.077325193339,-4.88922674806661,6661.534558829809,-4.835220588145594,2849.542766363531,-5.01524112121563
2024-02-08,9454.839439186639,-5.4516056081336135,6621.84694239352,-5.402186537235421,2832.9924967931174,-5.566916773562758
2024-02-09,9481.335358924061,-5.186646410759388,6636.933314891961,-5.186666930114836,2844.402044032099,-5.186598532263364
2024-02-12,9574.12677754541,-4.258732224545891,6696.0227833808685,-4.342531665987592,2878.103994164543,-4.063200194515226
2024-02-13,9827.859099264424,-1.7214090073557564,6842.908377770911,-2.2441660318441303,2984.950721493512,-0.5016426168829358
2024-02-14,9580.890539028322,-4.191094609716783,6690.182030785798,-4.425970988774319,2890.708508242523,-3.6430497252492366
2024-02-15,9573.907221671652,-4.260927783283474,6690.86169154016,-4.4162615494262925,2883.0455301314914,-3.8984823289502812
2024-02-16,9557.19481306829,-4.428051869317096,6677.320278490485,-4.60971030727878,2879.8745345778057,-4.004182180739813
2024-02-20,9721.742484560156,-2.7825751543984367,6783.686074907203,-3.0901989298971033,2938.0564096529542,-2.064786344901526
2024-02-21,9660.83515985515,-3.3916484014484882,6740.871041700098,-3.7018422614271684,2919.9641181550523,-2.667862728164927
2024-02-22,9594.789429396056,-4.052105706039432,6702.096315995844,-4.255766914345093,2892.6931134002116,-3.576896219992942
2024-02-23,9476.552706635766,-5.234472933642342,6636.147780409805,-5.197888851288502,2840.404926225961,-5.3198357924679645
2024-02-26,9402.360421945868,-5.97639578054131,6587.034168767672,-5.899511874747542,2815.326253178197,-6.155791560726764
2024-02-27,9300.691060734533,-6.993089392654673,6517.737042561917,-6.889470820544041,2782.9540181726156,-7.234866060912815
2024-02-28,9394.31182377186,-6.056881762281396,6581.341402448958,-5.980837107872016,2812.970421322903,-6.234319289236567
2024-02-29,9373.495101748202,-6.2650489825179845,6572.835849707406,-6.102345004179909,2800.659252040795,-6.644691598640174
2024-03-01,9450.566837351429,-5.494331626485705,6629.379453265713,-5.294579239061248,2821.187384085716,-5.96042053047613
2024-03-04,9483.489648393577,-5.165103516064229,6650.88204583148,-4.987399345264565,2832.6076025620973,-5.579746581263423
2024-03-05,9731.103719799714,-2.688962802002859,6818.6702466520455,-2.5904250478279156,2912.4334731476683,-2.918884228411056
2024-03-06,9782.42646061367,-2.1757353938633095,6857.186994450507,-2.0401857935641865,2925.239466163163,-2.492017794561241
2024-03-07,9781.053748436207,-2.18946251563793,6857.7243786462695,-2.0325088764818644,2923.3293697899376,-2.5556876736687495
2024-03-08,9917.231204988506,-0.8276879501149415,6944.958360100145,-0.7863091414265,2972.2728448883604,-0.9242385037213197
2024-03-11,9868.327463702348,-1.316725362976523,6913.6354892826475,-1.2337787245336074,2954.6919744197,-1.5102675193433446
2024-03-12,9571.694706035438,-4.283052939645627,6717.236515357051,-4.039478352042137,2854.458190678387,-4.85139364405377
2024-03-13,9557.061584894273,-4.42938415105727,6706.424382485433,-4.193937393065239,2850.6372024088405,-4.978759919705322
2024-03-14,9604.40450950974,-3.955954904902592,6725.586558945795,-3.9201920150600644,2878.8179505639455,-4.039401647868479
2024-03-15,9699.184911548458,-3.008150884515415,6784.9492510886585,-3.0721535558763113,2914.2356604598,-2.858811318006671
2024-03-18,9583.233225436052,-4.167667745639481,6709.259506031818,-4.1534356281168865,2873.973719404234,-4.2008760198588675
2024-03-19,9471.313324866824,-5.286866751331765,6639.068853794673,-5.156159231504676,2832.244471072152,-5.591850964261602
2024-03-20,9381.192775042977,-6.188072249570231,6584.414601750463,-5.936934260707671,2796.7781732925146,-6.774060890249512
2024-03-21,9362.94694148757,-6.3705305851243015,6572.649448570728,-6.105007877561031,2790.2974929168413,-6.990083569438621
2024-03-22,9382.068760414855,-6.1793123958514435,6588.160068901379,-5.883427587123147,2793.908691513476,-6.869710282884145
2024-03-25,9345.343848687397,-6.546561513126036,6562.736332209991,-6.246623825571563,2782.6075164774047,-7.246416117419841
2024-03-26,9339.110688509005,-6.608893114909953,6560.850922319283,-6.273558252581668,2778.259766189722,-7.391341127009266
2024-03-27,9317.57599066638,-6.824240093336198,6554.117761382792,-6.369746265960108,2763.458229283589,-7.884725690547034
2024-03-28,9446.940162389787,-5.530598376102136,6638.211269822632,-5.168410431105253,2808.728892567154,-6.375703581094861
2024-04-01,9436.917929461953,-5.630820705380469,6621.822277489792,-5.402538893002973,2815.0956519721612,-6.163478267594624
2024-04-02,9582.995914106461,-4.170040858935387,6714.659952002943,-4.076286399957951,2868.335962103519,-4.388801263216036
2024-04-03,9596.629597931897,-4.033704020681039,6725.652316465095,-3.919252621927205,2870.9772814668013,-4.30075728443996
2024-04-04,9805.317269673084,-1.9468273032691608,6861.97059680323,-1.9718486170967053,2943.3466728698522,-1.8884442376715938
2024-04-05,9906.51376397495,-0.9348623602504991,6920.667091969911,-1.1333272575727027,2985.8466720050396,-0.47177759983201284
2024-04-08,9733.981955868094,-2.66018044131906,6812.5196177046855,-2.6782911756473515,2921.4623381634083,-2.617922061219724
2024-04-09,9742.921420588067,-2.5707857941193235,6825.057569241919,-2.499177582258305,2917.8638513461483,-2.7378716217950516
2024-04-10,9727.462927425995,-2.7253707257400506,6797.981121857311,-2.8859839734669768,2929.4818055686837,-2.350606481043871
2024-04-11,9688.263591943756,-3.1173640805624347,6773.753080634084,-3.232098848084519,2914.5105113096733,-2.849649623010886
2024-04-12,10076.36914120106,0.7636914120106031,7019.733531041563,0.2819075863080389,3056.6356101594974,1.8878536719832528
2024-04-15,10366.277287981124,3.662772879811227,7196.441914731051,2.8063130675864523,3169.8353732500727,5.661179108335768
2024-04-16,10187.948800568109,1.8794880056810959,7079.643850466855,1.1377692923836502,3108.3049501012547,3.6101650033751653
2024-04-17,10142.646459540056,1.4264645954005672,7057.487624034689,0.8212517719241363,3085.158835505367,2.8386278501788986
2024-04-18,10179.00610938956,1.7900610938956119,7077.443951947576,1.106342170679664,3101.562157441983,3.385405248066098
2024-04-19,10333.899149876597,3.3389914987659752,7178.174690367398,2.5453527195342662,3155.724459509198,5.190815316973274
2024-04-22,9851.119293930262,-1.4888070606973836,6867.707149378282,-1.889897866024537,2983.4121445519795,-0.5529285149340146
2024-04-23,9656.362287156076,-3.4363771284392386,6744.913948034139,-3.64408645665516,2911.4483391219374,-2.951722029268755
2024-04-24,9588.344482042397,-4.11655517957602,6696.847630263886,-4.330748139087348,2891.496851778512,-3.6167716073829403
2024-04-25,9680.949915419322,-3.1905008458067874,6752.805123520029,-3.5313553782852947,2928.1447918992926,-2.395173603356915
2024-04-26,9556.182164229987,-4.438178357700129,6676.7499231038655,-4.6178582413733515,2879.4322411261223,-4.018925295795928
2024-04-29,9504.308672499896,-4.956913275001041,6649.1234478528295,-5.012522173531009,2855.1852246470658,-4.82715917843114
2024-04-30,9552.271224858721,-4.477287751412784,6669.6994788275715,-4.718578873891833,2882.5717460311503,-3.9142751322949865
2024-05-01,9623.567199800424,-3.764328001995765,6721.253139169992,-3.982098011857249,2902.3140606304314,-3.25619797898562
2024-05-02,9472.82695447496,-5.271730455250401,6629.0559981854085,-5.299200025922735,2843.770956289552,-5.20763479034827
2024-05-03,9342.514409526893,-6.57485590473107,6552.6204079698555,-6.39113702900207,2789.8940015570374,-7.003533281432084
2024-05-06,9266.495998902605,-7.335040010973948,6508.126253440644,-7.026767807990797,2758.3697454619605,-8.054341817934652
2024-05-07,9248.505077427872,-7.5149492257212795,6498.911436212888,-7.158408054101606,2749.5936412149836,-8.34687862616722
2024-05-08,9180.413660031467,-8.195863399685333,6451.064626559418,-7.841933906294029,2729.349033472048,-9.021698884265062
2024-05-09,9214.774577967515,-7.85225422032485,6479.229851325314,-7.439573552495515,2735.544726642202,-8.815175778593265
2024-05-10,9159.675945296774,-8.403240547032254,6441.869456755976,-7.973293474914634,2717.806488540798,-9.406450381973396
2024-05-13,9185.85441959222,-8.14145580407779,6458.215147737358,-7.739783603752026,2727.6392718548627,-9.078690938171242
2024-05-14,9148.749012329814,-8.512509876701857,6439.601680582414,-8.005690277394084,2709.1473317474006,-9.695088941753315
2024-05-15,9044.407334558256,-9.555926654417435,6383.96941630123,-8.800436909982423,2660.4379182570265,-11.318736058099121
2024-05-16,9030.325662090168,-9.696743379098315,6373.274377317014,-8.95322318118551,2657.0512847731547,-11.431623840894844
2024-05-17,9006.91315669338,-9.930868433066209,6357.208124870689,-9.182741073275869,2649.705031822691,-11.67649893924363
2024-05-20,9005.567755455215,-9.94432244544785,6355.112861214773,-9.212673411217532,2650.454894240442,-11.651503525318596
2024-05-21,8943.627333499551,-10.563726665004491,6317.985632462545,-9.74306239339221,2625.641701037006,-12.47860996543313
2024-05-22,8988.299511160303,-10.117004888396963,6343.770631490314,-9.374705264424076,2644.528879669989,-11.849037344333713
2024-05-23,8980.520831311322,-10.194791686886784,6331.379928183829,-9.551715311659581,2649.1409031274925,-11.695303229083587
2024-05-24,8875.17796926852,-11.248220307314805,6266.130549244042,-10.48384929651368,2609.047420024476,-13.031752665850792
2024-05-28,8933.123416678924,-10.66876583321077,6297.371611382371,-10.037548408823271,2635.751805296553,-12.141606490114897
2024-05-29,9038.308224709706,-9.616917752902932,6355.537825677781,-9.206602490317406,2682.7703990319255,-10.574320032269146
2024-05-30,9071.26729435458,-9.287327056454197,6383.020153341968,-8.813997809400465,2688.2471410126127,-10.391761966246237
2024-05-31,8938.982973564096,-10.610170264359041,6301.313005340554,-9.98124278084923,2637.669968223542,-12.077667725881923
2024-06-03,8983.260937623236,-10.167390623767647,6341.223662066298,-9.411090541910028,2642.037275556937,-11.93209081476877
2024-06-04,9006.539694291918,-9.934603057080826,6361.218021082627,-9.12545684167675,2645.3216732092915,-11.822610893023622
2024-06-05,8980.544812569322,-10.194551874306779,6350.43498755618,-9.27950017776885,2630.109825013142,-12.329672499561928
2024-06-06,8967.057441153582,-10.329425588464181,6342.388471867763,-9.394450401889099,2624.6689692858185,-12.511034357139383
2024-06-07,8772.907318231271,-12.27092681768729,6199.471829198468,-11.436116725736166,2573.4354890328036,-14.218817032239883
2024-06-10,8770.580709728012,-12.29419290271988,6195.408609874614,-11.49416271607695,2575.1720998533974,-14.160930004886751
2024-06-11,8810.599526883878,-11.894004731161223,6227.11273775886,-11.041246603444854,2583.4867891250187,-13.883773695832712
2024-06-12,8754.293069055077,-12.457069309449231,6196.217711008822,-11.482604128445395,2558.075358046254,-14.730821398458193
2024-06-13,8777.82025266025,-12.221797473397489,6217.500263115866,-11.178567669773344,2560.319989544386,-14.65600034852047
