date,total_portfolio_value,total_return,black_swan_protection_value,black_swan_protection_return,crisis_alpha_hunter_value,crisis_alpha_hunter_return
2024-02-01,10000.0,0.0,7000.0,0.0,3000.0,0.0
2024-02-02,9882.622227327476,-1.1737777267252336,6907.720222175145,-1.3182825403550757,2974.902005152331,-0.8365998282556242
2024-02-05,9618.363488741077,-3.816365112589226,6725.076567001468,-3.9274776142647405,2893.286921739609,-3.5571026086796964
2024-02-06,9545.399871174945,-4.546001288250556,6686.1844276238535,-4.4830796053735185,2859.2154435510915,-4.692818548296951
2024-02-07,9511.077325193339,-4.88922674806661,6661.534558829809,-4.835220588145594,2849.542766363531,-5.01524112121563
2024-02-08,9454.839439186639,-5.4516056081336135,6621.84694239352,-5.402186537235421,2832.9924967931174,-5.566916773562758
2024-02-09,9481.335358924061,-5.186646410759388,6636.933314891961,-5.186666930114836,2844.402044032099,-5.186598532263364
2024-02-12,9574.12677754541,-4.258732224545891,6696.0227833808685,-4.342531665987592,2878.103994164543,-4.063200194515226
2024-02-13,9827.859099264424,-1.7214090073557564,6842.908377770911,-2.2441660318441303,2984.950721493512,-0.5016426168829358
2024-02-14,9580.890539028322,-4.191094609716783,6690.182030785798,-4.425970988774319,2890.708508242523,-3.6430497252492366
2024-02-15,9573.907221671652,-4.260927783283474,6690.86169154016,-4.4162615494262925,2883.0455301314914,-3.8984823289502812
2024-02-16,9557.19481306829,-4.428051869317096,6677.320278490485,-4.60971030727878,2879.8745345778057,-4.004182180739813
2024-02-20,9721.742484560156,-2.7825751543984367,6783.686074907203,-3.0901989298971033,2938.0564096529542,-2.064786344901526
2024-02-21,9660.83515985515,-3.3916484014484882,6740.871041700098,-3.7018422614271684,2919.9641181550523,-2.667862728164927
2024-02-22,9594.789429396056,-4.052105706039432,6702.096315995844,-4.255766914345093,2892.6931134002116,-3.576896219992942
2024-02-23,9476.552706635766,-5.234472933642342,6636.147780409805,-5.197888851288502,2840.404926225961,-5.3198357924679645
2024-02-26,9402.360421945868,-5.97639578054131,6587.034168767672,-5.899511874747542,2815.326253178197,-6.155791560726764
2024-02-27,9300.691060734533,-6.993089392654673,6517.737042561917,-6.889470820544041,2782.9540181726156,-7.234866060912815
2024-02-28,9394.31182377186,-6.056881762281396,6581.341402448958,-5.980837107872016,2812.970421322903,-6.234319289236567
2024-02-29,9373.495101748202,-6.2650489825179845,6572.835849707406,-6.102345004179909,2800.659252040795,-6.644691598640174
